school_year,student_id_pseudonimized,category_name,gross_receivables,amount_discounted,adjustments,credit_sale_amount,due_date,date_fully_paid,last_payment_date,days_elapsed_until_fully_paid,dtp_1,dtp_2,dtp_3,dtp_4,dtp_avg,dtp_wavg,dtp_2_trend,dtp_3_trend,days_since_last_payment,amount_due_cumsum,amount_paid_cumsum,opening_balance,plan_type
2022,02PNVPI5,Kn2-C-1st,2800.0,0.0,0.0,2800.0,2022-09-09,2022-09-06,2022-08-04,-3,,,,,,0.0,,,36,29227.0,30227.0,0.0,Plan - C
2022,02PNVPI5,Kn2-C-2nd,2800.0,0.0,0.0,2800.0,2022-11-05,,2022-09-06,,-3,,,,-3.0,-1.2000000000000002,,,60,32027.0,30227.0,2800.0,Plan - C
2022,02PNVPI5,Kn2-OF-2nd,2267.0,0.0,0.0,2267.0,2022-12-05,,2022-09-06,,,-3,,,-3.0,-0.8999999999999999,,,90,34294.0,30227.0,5067.0,Plan - C
2022,02PNVPI5,Kn2 - Moving Up - Male,2600.0,0.0,0.0,2600.0,2022-12-16,,2022-12-12,,,,-3,,-3.0,-0.6000000000000001,,,4,38520.0,31027.0,8493.0,Plan - C
2022,02PNVPI5,Events - Foundation Day,490.0,0.0,0.0,490.0,2022-12-16,,2022-12-12,,,,,-3,-3.0,-0.30000000000000004,,,4,38520.0,31027.0,8493.0,Plan - C
2022,02PNVPI5,Surcharge,336.0,0.0,0.0,336.0,2022-12-16,,2022-12-12,,,,,,,0.0,,,4,38520.0,31027.0,8493.0,Plan - C
2022,02PNVPI5,Kn2-C-3rd,2800.0,0.0,0.0,2800.0,2023-01-06,,2022-12-16,,,,,,,0.0,,,21,41320.0,31027.0,11293.0,Plan - C
2022,02PNVPI5,Kn2-C-4th,2800.0,0.0,0.0,2800.0,2023-03-04,,2022-12-16,,,,,,,0.0,,,78,44120.0,31027.0,14093.0,Plan - C
2022,02PNVPI5,Kn2-OF-3rd,2266.0,0.0,0.0,2266.0,2023-03-08,,2022-12-16,,,,,,,0.0,,,82,46386.0,31027.0,16359.0,Plan - C
2022,06R2FRKW,Uniform - Students - Daily,30.0,0.0,0.0,30.0,2022-07-01,2022-07-09,2022-06-20,8,,,,,,0.0,,,11,5340.0,27360.0,30.0,Plan - A
